Site,Longitude(x),Latitude(y),BIO1_Annual_mean_temperature,BIO7_Temperature_annual_range,BIO12_Annual_precipitation,BIO17_Precipitation_of_driest_quarter,Albany_thicket,Coastal_belt,Desert,Forest,Fynbos,Nama_Karoo,Savanna,Succulent_Karoo,AB_Unmodified_largely_natural_river,C_Moderately_modified_river_condition,D_Largely_modified_river_condition,EF_Extremely_modified_river_condition,Z_River_condition_no_longer_intact,Human_population_density ,Sampling_effort 
1,29.38,-22.13,22.68,29.3,354,4,0,0,0,0,0,0,0.23,0,10379.95,15640.94,0,0,91.25,6.78,40
2,30.88,-22.13,23.44,24.67,487.5,10,0,0,0,0,0,0,0,0,11337.11,7051.14,0,8594.42,0,0.22,54
3,29.13,-22.38,21.91,28.4,350.75,6,0,0,0,0,0,0,0.96,0,7447.36,7015.4,0,0,0,0.91,22
4,30.13,-22.38,22.83,27.15,448,9.75,0,0,0,0,0,0,0.83,0,94.19,16006.57,10359.21,0,0,1.1,71
5,30.38,-22.38,23.07,25.55,434,7.75,0,0,0,0,0,0,0.6,0,3375.25,0,18949.15,0,36.57,5.47,15
6,30.63,-22.38,23.12,25.13,466.75,9,0,0,0,0,0,0,0.71,0,5344.03,0,10315.35,0,5786.51,4.63,36
8,31.13,-22.38,24.08,25.55,446.75,9,0,0,0,0,0,0,0.59,0,118.13,22260.37,0,0,0,0.18,20
9,31.38,-22.38,24.04,25.25,473.75,10.75,0,0,0,0,0,0,0.11,0,2302.85,1155.5,0,20804.84,0,11.5,62
10,28.13,-22.63,21.9,29.15,353.25,5,0,0,0,0,0,0,0.12,0,16689.29,0,0,9570.15,0,0.01,19
11,28.38,-22.63,21.71,28.3,328.5,4.75,0,0,0,0,0,0,0.61,0,94.98,0,0,0,0,0.58,65
12,28.88,-22.63,21.55,27.32,344.5,4.5,0,0,0,0,0,0,0.96,0,17650.07,3687.72,936.63,0,0,0.77,66
13,29.13,-22.63,20.67,26.28,406.5,6.5,0,0,0,0,0,0,0.96,0,2489.45,0,0,0,0,0.4,24
15,30.13,-22.63,22.28,25.7,527.25,11.75,0,0,0,0,0,0,0.96,0,1244.91,5371.29,6209.91,0,1661.51,21.02,347
16,30.38,-22.63,22.1,24.3,640.25,13,0,0,0,0,0,0,0.96,0,3375.25,2733.02,6209.91,0,1330.34,4.28,105
17,30.88,-22.63,22,22.67,693.5,18.25,0,0,0,0,0,0,0.96,0,2584.6,8135.99,0,0,4483.83,0,38
18,31.13,-22.63,23.61,24.38,535.25,13.75,0,0,0,0,0,0,0.96,0,1379.81,8135.99,0,0,0,0.18,45
19,29.38,-22.88,20.6,27,432.25,9.5,0,0,0,0,0,0,0.96,0,8743.11,993.15,6338.85,0,0,1.65,39
20,29.63,-22.88,20.99,25.6,436.25,9.5,0,0,0,0,0,0,0.96,0,7844.15,1195.03,181.55,0,0,3.81,54
21,29.88,-22.88,20.53,24.08,591.75,16.5,0,0,0,0,0,0,0.96,0,0,2155.18,4273.14,0,1011.66,0.73,55
23,30.38,-22.88,18.23,20.13,1490,84,0,0,0,0,0,0,0.96,0,210.07,2733.02,695.69,0,1330.34,1.28,66
24,30.63,-22.88,21.84,25.8,700.5,20.5,0,0,0,0,0,0,0.96,0,10515.04,790.67,7101.88,0,2405.33,194.6,31
25,31.13,-22.88,22.95,26.95,509.5,13.75,0,0,0,0,0,0,0.96,0,8304.47,8135.99,0,0,0,0.02,38
26,31.38,-22.88,23.11,26.9,479.25,13,0,0,0,0,0,0,0.81,0,2766.99,9887.24,0,1842.95,0,0.02,17
28,28.13,-23.13,21.44,27.35,438.25,7.5,0,0,0,0,0,0,0.96,0,4573.18,0,0,0,0,1,27
31,29.38,-23.13,19.87,27.12,546.5,15.5,0,0,0,0,0,0,0.96,0,0,1310.34,6338.85,0,6043.26,11.84,143
32,29.63,-23.13,20.03,28.25,581.25,19.5,0,0,0,0,0,0,0.96,0,6249.3,791.26,181.55,0,0,1.15,25
33,29.88,-23.13,19.56,26.87,685.75,28,0,0,0,0,0,0,0.96,0,0,713.37,1006.49,0,1060.28,18.09,54
34,30.13,-23.13,20.22,25.95,813.5,33.75,0,0,0,0,0,0,0.96,0,0,3528.13,259.24,0,361.81,3.39,151
35,30.38,-23.13,21.37,25.97,806.75,29.75,0,0,0,0,0,0,0.96,0,0,6803.63,2718.57,0,0,63.32,31
36,31.38,-23.13,23.15,28.1,443,13.5,0,0,0,0,0,0,0.96,0,9013.11,11978.28,0,5569.08,0,0.1,55
38,27.13,-23.38,21.32,32.27,410.75,7,0,0,0,0,0,0,0,0,2.47,33551.2,0,7884.35,0,0.49,11
40,29.38,-23.38,19.3,27.4,580.5,18,0,0,0,0,0,0,0.97,0,0,1310.34,6789.64,0,4095.03,1.21,21
42,31.63,-23.38,23.09,23.28,460.25,17,0,0,0,0,0,0,0.19,0,5279.47,0,0,6907.19,0,3.23,11
43,27.13,-23.63,21.32,32.27,410.75,7,0,0,0,0,0,0,0.69,0,83.24,12254.26,0,0,0,0.49,16
44,27.88,-23.63,21.22,29.17,467,9.5,0,0,0,0,0,0,0.97,0,3648.15,3944.46,15360.72,0,0,0.38,24
45,28.13,-23.63,20.99,29.78,475,11,0,0,0,0,0,0,0.97,0,3810.91,1027.1,22517.52,0,0,1.82,43
48,30.13,-23.63,20.47,25.02,770.5,34.25,0,0,0,0,0,0,0.97,0,0,741.28,5485.52,0,90.29,14.79,20
50,30.88,-23.63,22.38,25.9,518.5,15.5,0,0,0,0,0,0,0.97,0,2092.02,4756.19,10923.91,0,0,0,11
51,31.38,-23.63,22.38,24.3,503.5,17.25,0,0,0,0,0,0,0.97,0,3647.91,9008.53,0,0,0,0.11,31
52,27.88,-23.88,19.93,25.57,514,12,0,0,0,0,0,0,0.97,0,3648.15,3177.85,0,0,0,0.37,31
